drillhole	from	to	GEOCODE
TEST025	450	499	V4A
TEST025	499	501	I1H
TEST025	501	501	V4A
TEST026	0	6	CAS
TEST026	6	115	V4A
TEST026	115	138	V3
TEST026	138	138	V2V
TEST026	138	189	V3
TEST026	189	190	V2V
TEST026	190	192	V3
TEST026	192	196	S2A
TEST026	196	212	I1D
TEST027	0	1	CAS
TEST027	1	8	S2A
TEST027	8	78	I1D
TEST027	78	95	V3
TEST027	95	96	I2D
TEST027	96	108	V3
TEST027	108	111	I2D
TEST027	111	149	V3
TEST027	149	203	I1D
